T2_max,T2_WRF_max,T2_min,T2_WRF_min,P_WRF_max,P_WRF_min,U10_WRF_max,U10_WRF_min,V10_WRF_max,V10_WRF_min
15.91,15.778961,9.83,9.118103,1016.8893,1014.8218,2.9790606,-0.43781698,4.5470133,-0.38685572
15.68,15.215393,13.02,9.39328,1016.95734,1015.23413,2.940632,-0.12369354,2.4620593,0.115657456
13.98,15.008423,12.17,12.050293,1017.1675,1012.85876,1.9295567,0.10228189,3.920494,-0.038980886
13.79,15.328766,10.96,10.451843,1013.6475,1010.8971,2.8868442,0.08315093,3.8436158,-0.02747174
14.98,13.67334,9.61,9.953888,1017.1057,1013.91626,3.1581008,-0.20213966,-1.961354,-0.07016021
14.86,13.758057,8.87,8.122131,1017.64453,1012.1417,2.8505168,-0.04745671,-2.050547,-0.0498983
18.3,16.210815,8.47,8.605347,1012.03766,1006.10297,4.876147,-0.22855444,-4.8216715,-0.013396005
18.53,16.534271,10.15,10.854706,1007.4082,1005.7834,-1.920489,-0.009589357,-9.775627,-0.18965192
17.25,15.683136,13.55,13.186035,1009.4451,1007.76373,5.5069966,-0.04645248,-13.396177,-6.289769
15.63,14.473755,12.73,11.003662,1011.4074,1007.214,5.5731416,0.012416945,-12.936281,-3.629884
16.22,15.406586,11.22,9.429932,1012.04016,1007.64703,-4.5702615,0.13434869,-5.222017,-0.08240655
13.81,12.865204,10.42,8.29071,1020.2838,1011.78265,3.5737603,-0.11223693,5.5069137,0.13456337
14.48,13.625763,6.69,6.723053,1020.82446,1018.13196,2.9247437,0.06787725,-8.914513,-1.4676467
16.3,15.043152,13.09,12.335968,1018.11487,1013.3137,3.9208124,0.80030215,-11.70621,-6.238161
16.37,15.297821,15.2,13.990845,1017.46234,1012.2327,4.463969,2.3800771,-9.841549,-5.507507
18.01,17.162994,14.84,12.253906,1017.73914,1011.4316,4.570047,0.541557,-5.4385366,0.09647533
15.84,14.24765,11.2,10.463745,1015.12274,1008.3683,4.7670784,-0.13458274,-8.790294,0.06399149
14.6,13.383942,7.49,8.554535,1016.71185,1015.157,2.7226133,-0.00967759,-4.347781,-2.09071
16.25,15.076599,10.39,8.999359,1016.7036,1015.5103,3.396095,-0.0020687906,-5.156523,-2.989939
15.91,14.194305,10.66,9.995605,1016.8245,1011.1431,2.6830635,0.037712008,-5.3372006,0.32906145
17.51,15.4592285,12.85,12.284882,1010.7953,1004.9625,1.899239,0.14084099,-13.573641,-3.4680548
16.56,15.211182,10.76,9.615387,1010.34845,999.3568,10.131019,0.023156887,-13.688883,0.7529603
11.35,10.583557,8.52,8.488464,1015.28296,1010.6716,2.8508759,0.0049695,3.9225764,-0.15405749
13.38,11.749481,8.74,8.524078,1017.4196,1013.38116,3.6565926,-0.004465642,2.529419,0.05574449
13.98,13.46347,6.53,7.066803,1016.9465,1009.2333,1.9979228,-0.03531098,-11.152487,-2.1397662
13.86,13.014252,9.06,9.3367,1019.282,1011.64703,5.3245683,-0.13346046,-4.469478,-0.2664334
14.79,14.681702,9.9,8.955017,1021.21796,1019.65814,1.7611214,0.046467315,-5.687191,-3.0133755
14.19,13.060577,10.03,9.545074,1020.73346,1017.30585,2.590025,-0.11936283,-3.4599805,-0.3816812
16.01,14.630951,8.22,8.924774,1017.5784,1013.77905,2.1718085,-0.10604954,-8.008976,-1.5586798
16.7,15.39209,13.91,12.533051,1013.5821,1008.3693,5.646423,0.3144849,-14.358807,-3.6111214
16.53,14.91687,10.66,11.198761,1015.8618,1012.5044,-3.9169247,-0.06935861,-8.87749,-0.43937445
18.39,15.721771,14.1,13.952942,1013.66437,1008.9434,2.702809,0.11456374,-9.319632,-4.7520776
16.03,14.472351,13.79,13.443848,1008.442,1004.1395,3.4358943,0.21965896,-13.843413,-1.6857013
15.56,13.92215,11.32,11.720215,1008.4186,1003.7565,6.337261,1.4348522,-12.282189,-5.699043
13.67,11.87262,11.18,10.017487,1012.27484,1008.0437,8.087757,2.0541482,-6.6832848,1.0652373
12.77,11.119049,7.02,7.8072205,1024.7931,1011.7701,6.688857,0.09969573,6.3850336,-0.14230447
12.92,11.557251,4.84,5.505005,1027.2253,1025.4913,-4.540819,-2.1441135,3.3299804,-0.05885614
12.34,11.481384,3.93,4.97171,1025.5029,1023.70264,-3.6083186,0.038348023,2.7236416,0.062297795
13.16,13.706024,3.43,5.0786133,1023.9932,1015.64197,-3.5448515,-0.027009731,1.6817433,-0.08589933
12.41,11.9991455,3.96,6.0110474,1015.2826,1011.6024,3.0705805,0.023718523,-2.685644,-0.023994194
14.15,12.483032,8.97,7.2913513,1019.3375,1013.6884,3.117705,-0.01234239,4.742075,0.33713624
