Index,T2,Time,T2_WRF,P_WRF,U10_WRF,V10_WRF
131,3.09,2020-09-06 11:00:00,4.4424133,1024.1049,-0.89636326,-2.3323514
132,4.12,2020-09-06 12:00:00,5.2925415,1023.80835,-0.9093361,-1.2684667
133,6.51,2020-09-06 13:00:00,8.213928,1023.38873,-0.6659841,0.015692264
134,8.82,2020-09-06 14:00:00,9.039703,1022815,-0.12968113,1.1956832
135,9.24,2020-09-06 15:00:00,10.192993,1022.0949,0.7667139,1.2268735
136,9.9,2020-09-06 16:00:00,11.191376,1021.33734,1.7264876,0.81487775
137,11.71,2020-09-06 17:00:00,11.31488,1020.6902,2.577667,0.120978564
138,11.39,2020-09-06 18:00:00,10.39212,1020.1618,2.8958921,-0.8745902
139,11.37,2020-09-06 19:00:00,10.612549,1019.3463,1.9030002,-0.4787184
140,11.52,2020-09-06 20:00:00,10.493317,1018.72906,1.7285099,-0.09344055
141,11.42,2020-09-06 21:00:00,9.987183,1017.9581,1.3545517,0.40692902
142,10.81,2020-09-06 22:00:00,9.323456,1017.53046,0.48284295,0.72025615
143,8.99,2020-09-06 23:00:00,7.960602,1017.1373,0.27757996,0.90029186
144,7.24,2020-09-07 00:00:00,8.255829,1017.0123,0.19426492,0.3723364
145,5.97,2020-09-07 01:00:00,8.4097595,1015.68024,-0.6102964,-0.69466686
146,5.39,2020-09-07 02:00:00,6.2339783,1015.4293,-0.05290127,-2.0904477
147,5.31,2020-09-07 03:00:00,5.925873,1014.96906,-0.697717,-2.481919
148,5.23,2020-09-07 04:00:00,6.190674,1014.5683,-1.74025,-2.1483319
149,4.66,2020-09-07 05:00:00,5.565094,1014.49896,-0.581616,-2.0439572
150,4.92,2020-09-07 06:00:00,5.757416,1014.16943,0.22965868,-1.4533775
151,6.61,2020-09-07 07:00:00,5.455536,1013.36615,0.22929524,-2.1899142
152,8.64,2020-09-07 08:00:00,6.0293274,1012.82336,0.92771924,-2.4506066
153,7.47,2020-09-07 09:00:00,7.1602783,1012.7145,1.436594,-4.235627
154,8.32,2020-09-07 10:00:00,7.5519714,1012.6136,1.7231532,-6.0992494
155,8.52,2020-09-07 11:00:00,7.617981,1012.48315,1.3748379,-6.553101
156,9.53,2020-09-07 12:00:00,8.076172,1011.9812,0.9499971,-6.952352
157,10.2,2020-09-07 13:00:00,9.02713,1011.8862,1.5850314,-6.796071
158,11.37,2020-09-07 14:00:00,9.923859,1011.5838,1.7449389,-8.7474
159,12.19,2020-09-07 15:00:00,10.570679,1011.1986,2.6958597,-9.064028
160,12.19,2020-09-07 16:00:00,10.04303,1010.88135,2.688045,-9.108854
