Time,T2,T2_WRF,PP,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-06 04:00:00,8.77,6.911194,0,0,1004.9116,0.6985647,-1.636931
2018-08-06 05:00:00,8.69,7.147644,0,0,1004.69025,-0.4794096,-2.0174742
2018-08-06 06:00:00,8.52,7.286133,0,0.006210327,1004.31555,-0.6154828,-2.1007686
2018-08-06 07:00:00,8.32,7.253845,0.199999999999999,0.066207886,1004.06665,-0.20563667,-1.7567265
2018-08-06 08:00:00,8.12,7.0931396,0.199999999999999,0.15396118,1003.8653,-0.041112307,-1.1788726
2018-08-06 09:00:00,7.97,6.921356,0.199999999999999,0.018875122,1003.3451,-0.52577406,-1.1084822
2018-08-06 10:00:00,7.67,7.063202,0.199999999999999,0.0660553,1003.0355,-0.14992556,-0.84097165
2018-08-06 11:00:00,7.62,6.970276,0.199999999999999,0.41047668,1002.93353,0.7056942,-0.12375106
2018-08-06 12:00:00,7.37,7.085785,0,0.24275208,1002.83344,1.4919372,1.1116785
2018-08-06 13:00:00,7.54,7.122101,0.199999999999999,0.7496033,1002.7612,1.5222952,2.2368293
2018-08-06 14:00:00,8.17,7.1412354,0,0.79571533,1002.9032,0.5677137,4.2553
2018-08-06 15:00:00,8.37,6.974365,0,0.86761475,1003.38104,0.30672422,5.625482
2018-08-06 16:00:00,8.54,6.8134155,0,0.8980713,1003.66626,0.06778851,6.137655
2018-08-06 17:00:00,8.42,7.155487,0,0.36383057,1003.83813,-0.28391567,5.0134673
2018-08-06 18:00:00,8.69,7.7949524,0,0.0067749023,1004.0109,0.7460847,3.1013331
2018-08-06 19:00:00,9.14,8.147064,0,0,1004.41846,1.1343296,2.1469615
2018-08-06 20:00:00,8.92,7.744385,0,0.026489258,1004.7791,1.4493388,0.85326904
2018-08-06 21:00:00,8.64,7.5940247,0,0.032073975,1005.6253,2.1929584,-0.14500703
2018-08-06 22:00:00,7.82,6.809784,0,0.17007446,1006.3443,3.8832567,0.61165875
2018-08-06 23:00:00,7.64,6.5884094,0,0.0007171631,1007.1108,4.3666253,1.6988752
2018-08-07 00:00:00,7.22,6.127899,0,0,1007.9958,4.0741553,1.8568438
2018-08-07 01:00:00,6.61,5.703644,0,0,1008.40784,2.9153147,1.7750632
2018-08-07 02:00:00,6.69,5.122864,0,0,1008.63245,2.0142498,1.7867498
2018-08-07 03:00:00,6.46,4.7265015,0,0,1008.8462,1.6450171,1.4898884
2018-08-07 04:00:00,6.51,4.518036,0,0,1008.88495,1.5790243,1.2135774
2018-08-07 05:00:00,6.33,3.9487305,0,0,1009.998,1.2965811,0.38785926
2018-08-07 06:00:00,5.59,3.2295227,0,0,1010.73456,1.5096127,-0.6486516
2018-08-07 07:00:00,5.85,3.517334,0,0,1012.17554,2.859741,-0.7913318
2018-08-07 08:00:00,5.69,3.5834045,0,0,1013.0948,2.8186746,-0.77781165
2018-08-07 09:00:00,5.62,3.495575,0,0,1013.9339,1.660672,-1.2814822
2018-08-07 10:00:00,4.87,3.495636,0,0,1014.5014,1.7552118,-1.4232967
2018-08-07 11:00:00,5.92,3.6098938,0,0,1015.3382,1.4025807,-1.6860405
2018-08-07 12:00:00,6.46,3.8714294,0,1.5258789e-05,1016.0464,1.6167412,-1.6446782
2018-08-07 13:00:00,7.17,4.0169983,0,0.00010681152,1016.8723,1.4615729,-1.742529
2018-08-07 14:00:00,8.57,4.32666,0,0,1017.66095,0.65228623,-1.397133
2018-08-07 15:00:00,8,5.4696655,0.199999999999999,0,1018.31244,0.44227687,-1.584797
2018-08-07 16:00:00,8.97,8.732727,0,0,1018.7123,1.2086776,-2.0153604
2018-08-07 17:00:00,8.64,9.645721,0.199999999999999,0,1019.4135,3.116457,-3.1840901
2018-08-07 18:00:00,9.06,9.024658,0,0.0017547607,1020.1867,2.6190062,-2.9072325
2018-08-07 19:00:00,10.54,9.812775,0,0.0036315918,1020.4607,2.984329,-3.790323
2018-08-07 20:00:00,10.91,9.184326,0,0.0079193115,1020.84436,2.0195367,-3.3387728
2018-08-07 21:00:00,9.39,9.04126,0,0.00045776367,1021.8832,1.7817898,-2.8562405
2018-08-07 22:00:00,8.54,7.6762085,0,0,1022.3677,0.66865313,-2.4533548
2018-08-07 23:00:00,8.42,6.8685303,0,0,1022.65625,0.24245903,-2.3891878
2018-08-08 00:00:00,8.24,6.479004,0,0,1023.00995,0.6424166,-2.7381957
2018-08-08 01:00:00,7.62,6.5492554,0,0,1023.8812,0.77580553,-3.1166112
2018-08-08 02:00:00,7.95,6.4481506,0,0,1023.6044,0.7190774,-3.3479755
2018-08-08 03:00:00,7.95,6.2709656,0,0,1024.3271,0.73520553,-3.0696476
2018-08-08 04:00:00,7.19,6.070526,0,0,1024.1781,0.4790521,-3.1834998
2018-08-08 05:00:00,8,6.373291,0,0,1024.5116,-0.8402406,-3.805417
2018-08-08 06:00:00,7.87,6.5046387,0,0,1024.3672,-1.6660755,-4.496163
2018-08-08 07:00:00,7.9,6.8206787,0,0,1024.2584,-2.0988212,-5.8994675
2018-08-08 08:00:00,8.37,6.7644653,0,0.0001373291,1023.69586,-2.0428553,-7.414667
2018-08-08 09:00:00,8.72,6.8842773,0,0,1023.1538,-2.4099317,-7.2440834
2018-08-08 10:00:00,8.87,7.006134,0,0.00016784668,1022.86505,-2.6929877,-7.6064816
2018-08-08 11:00:00,8.49,7.1967163,0,0.0020599365,1022.43085,-2.952604,-8.026136
2018-08-08 12:00:00,8.74,7.3327637,0,0.002746582,1021.99744,-2.9016287,-8.008718
2018-08-08 13:00:00,9.01,7.307495,0,0.0025939941,1021.2869,-2.8953345,-7.9718957
2018-08-08 14:00:00,8.49,7.6875,0,0.0019226074,1020.27905,-3.442476,-8.44453
