Time,T2,T2_WRF,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-07 17:00:00,9.786,9.133789,0,1023.3304,-0.93025064,-5.536501
2018-08-07 18:00:00,10.002,9.265076,0,1023.83417,-1.3263136,-5.5257826
2018-08-07 19:00:00,9.473,9.2473755,0,1024.2089,-2.1541028,-5.7187586
2018-08-07 20:00:00,8.876,8.483185,0.026733398,1024.6343,-2.588982,-5.289007
2018-08-07 21:00:00,8.785,8.6840515,0.97016907,1025.2395,-1.3930887,-6.4528446
2018-08-07 22:00:00,8.813,8.45639,0.30731964,1026.1439,-0.6883496,-5.4009047
2018-08-07 23:00:00,8.597,8.308197,0.2823944,1026.6243,-0.41321737,-5.1056004
2018-08-08 00:00:00,8.808,8.139557,0.27591705,1026.9812,-0.28087112,-5.596641
2018-08-08 01:00:00,8.984,7.943451,0.24796295,1028.206,-1.5720965,-5.944491
2018-08-08 02:00:00,8.688,7.781769,0.22530365,1027.2156,-1.7940425,-6.4749064
2018-08-08 03:00:00,8.893,7.5058594,0.0410614,1027.8486,-1.2215923,-6.67528
2018-08-08 04:00:00,9.063,7.493927,0,1027.846,-1.8698372,-6.134207
2018-08-08 05:00:00,8.978,7.349457,0,1027.967,-2.1037786,-6.275209
2018-08-08 06:00:00,8.893,7.4985046,0,1028.281,-1.9016353,-7.539844
2018-08-08 07:00:00,8.904,7.453308,0,1027.9192,-1.8797929,-7.3483105
2018-08-08 08:00:00,8.569,7.477173,0.0015716553,1027.4591,-1.9465058,-7.461767
2018-08-08 09:00:00,8.267,7.40625,0.0827713,1027.1489,-1.9807429,-7.1127787
2018-08-08 10:00:00,8.495,7.278778,0.04524994,1026.5996,-2.035007,-6.9041715
2018-08-08 11:00:00,8.358,7.154175,0,1026.226,-2.1355414,-6.559188
2018-08-08 12:00:00,8.176,7.1253357,0,1025.6058,-2.2579641,-6.251393
2018-08-08 13:00:00,8.887,7.268982,0,1024.806,-2.5071995,-5.6470184
2018-08-08 14:00:00,10.275,8.161072,0,1023.86896,-2.712504,-4.723088
2018-08-08 15:00:00,11.037,9.001343,0,1023.18677,-2.509744,-4.8006706
2018-08-08 16:00:00,11.043,9.367523,0,1022.3575,-1.8416481,-5.263311
2018-08-08 17:00:00,10.73,9.857056,0,1021.6527,-1.3646487,-5.3142805
2018-08-08 18:00:00,10.889,10.167694,0,1020.84424,-0.8137289,-5.0201426
2018-08-08 19:00:00,10.138,10.316589,0,1019.5644,-0.13520508,-4.260881
2018-08-08 20:00:00,10.32,10.155701,0,1018.4744,-0.49992627,-3.4071743
2018-08-08 21:00:00,9.314,9.417511,0,1017.7137,-0.37028328,-2.9811065
2018-08-08 22:00:00,8.825,9.18161,0,1017.1671,-0.70468384,-3.5714085
2018-08-08 23:00:00,7.084,9.255737,0,1016.8019,-1.6333575,-3.150533
2018-08-09 00:00:00,8.603,9.045044,0,1016.5662,-1.5687988,-3.528798
2018-08-09 01:00:00,9.774,9.011261,0,1017.2928,-1.5948848,-3.8657637
2018-08-09 02:00:00,10.093,8.8255005,0,1016.15063,-1.9970858,-3.6086016
2018-08-09 03:00:00,9.615,8.586517,0,1016.18854,-1.7056416,-3.3811939
2018-08-09 04:00:00,8.62,8.570496,0,1015.87256,-1.1427468,-3.3771353
2018-08-09 05:00:00,9.302,8.6073,0,1015.93915,0.18177041,-3.4823167
2018-08-09 06:00:00,8.887,8.402222,0,1015.91077,0.56164724,-2.6552827
2018-08-09 07:00:00,9.695,8.346893,0,1015.29315,-0.37578204,-2.6283076
2018-08-09 08:00:00,9.672,8.509796,0,1014.99475,-0.8053633,-3.6171894
2018-08-09 09:00:00,9.678,8.677734,0,1014.935,-1.4441135,-4.3820744
2018-08-09 10:00:00,9.388,8.650482,0,1014.9981,-1.092375,-6.257147
2018-08-09 11:00:00,9.382,8.3593445,0,1015.21893,-0.21744198,-6.5801487
2018-08-09 12:00:00,9.268,8.253601,0,1015.22034,-0.39091825,-6.3957305
2018-08-09 13:00:00,9.484,8.305878,0,1015.3546,-0.52687067,-6.0989933
2018-08-09 14:00:00,9.791,8.7473755,0,1015.42865,-0.4229856,-5.8942833
2018-08-09 15:00:00,10.019,9.404205,0,1015.59467,-0.3689887,-5.747458
2018-08-09 16:00:00,9.911,9.777679,0,1015.6593,-0.66048205,-5.3776407
2018-08-09 17:00:00,9.905,9.793945,0,1015.4546,-1.6439958,-5.3686967
2018-08-09 18:00:00,9.57,9.637909,0.022605896,1015.49396,-1.3688568,-4.8812995
2018-08-09 19:00:00,8.995,9.386505,0.31425476,1015.2765,-1.0690019,-4.1825223
2018-08-09 20:00:00,8.591,9.1502075,0.39189148,1015.3652,-1.2299097,-3.711892
2018-08-09 21:00:00,8.876,8.947357,0.13092804,1015.5735,-1.2025166,-3.8884356
2018-08-09 22:00:00,8.887,8.5581665,0.20374298,1015.55646,-1.186215,-3.587628
2018-08-09 23:00:00,8.495,8.43866,0.6577606,1015.62054,-1.0617151,-3.6704817
2018-08-10 00:00:00,8.517,8.384277,1.0430984,1015.76935,-0.75249237,-3.694991
2018-08-10 01:00:00,8.375,8.649719,0.9166031,1015.76404,-0.6237093,-2.9193513
2018-08-10 02:00:00,8.688,8.823212,0.2882614,1015.74414,-1.429721,-3.551245
2018-08-10 03:00:00,8.825,8.754486,0.2385025,1015.8425,-0.8480966,-4.231764
2018-08-10 04:00:00,8.819,8.461365,2.656334,1016.7449,-1.3149809,-4.9284554
2018-08-10 05:00:00,8.813,8.290131,2.285843,1016.34045,-2.0339088,-4.1723194
2018-08-10 06:00:00,8.512,8.001129,0.37352753,1017.1955,-2.1982296,-5.030152
2018-08-10 07:00:00,8.199,8.028503,0.2723999,1017.6726,-1.9173477,-5.017519
2018-08-10 08:00:00,8.495,8.151855,0.079940796,1017.98706,-1.6906106,-4.781782
2018-08-10 09:00:00,8.597,8.199371,0.019203186,1018.1329,-0.99677086,-4.9651303
2018-08-10 10:00:00,8.591,8.208191,0.10135651,1018.20404,-0.87039435,-4.7963605
2018-08-10 11:00:00,8.597,8.391296,0.14230347,1018.30884,-1.7691051,-4.4135723
2018-08-10 12:00:00,8.119,8.4552,0.13910675,1018.39417,-0.6706622,-2.4088874
2018-08-10 13:00:00,8.574,8.330231,0.1474762,1018.71405,-0.44370106,-0.87890524
2018-08-10 14:00:00,9.388,8.7256775,0.13951111,1018.78235,0.6925163,-0.5111618
2018-08-10 15:00:00,11.264,8.731171,0.123313904,1018.8053,1.6026359,-0.43452427
2018-08-10 16:00:00,11.486,8.894836,0.1147995,1018.6756,0.35679603,-1.4099677
2018-08-10 17:00:00,11.816,9.020264,0.11264801,1018.32513,-0.42702672,-2.1090367
2018-08-10 18:00:00,11.566,9.8385315,0.09711456,1017.9304,-0.07283823,-2.8376327
2018-08-10 19:00:00,10.423,9.953644,0.031539917,1017.54083,0.03768209,-2.7047489
2018-08-10 20:00:00,11.475,9.8585205,0,1017.19946,-0.08630131,-2.3471704
2018-08-10 21:00:00,10.44,9.474182,0,1016.92664,-0.59672487,-1.9057751
2018-08-10 22:00:00,8.569,8.057739,0,1016.7159,-0.6169381,-1.1460596
